index,name,area,span_z,span_y,u_avg,k_enh,skew_g,skew_l,lambda,q
0,trapezoid_0000,80.00000000000001,2.0,80.0,0.33668266855400153,3.6316590218502314,0.5938508867511211,-10.107099702726607,0.025,0.0
1,trapezoid_0001,88.0,2.0,80.0,0.39740703676877803,4.727811828616632,0.47541819145773934,1368.6995444912866,0.025,0.1
2,trapezoid_0002,95.99999999999999,2.0,80.0,0.4450399476826484,4.938684261222927,0.2937239481762597,-14.467288259948239,0.025,0.2
3,trapezoid_0003,104.0,2.0,80.0,0.48653395112861275,4.567216611470479,0.12457109854119355,-18.042778648179343,0.025,0.30000000000000004
4,trapezoid_0004,112.0,2.0,80.0,0.523572015703725,3.8264108966310024,-0.025792670356696957,-21.559330675126976,0.025,0.4
5,trapezoid_0005,119.99999999999999,2.0,80.0,0.556425115772856,2.995184588846521,-0.1540954446277938,-24.684208813743087,0.025,0.5
6,trapezoid_0006,128.0,2.0,80.0,0.5819588123641741,2.011428911383128,-0.2657553456268386,-28.09063029825863,0.025,0.6000000000000001
7,trapezoid_0007,136.0,2.0,80.0,0.6069322358269844,1.2389628060932272,-0.364697213501874,-30.7691309234612,0.025,0.7000000000000001
8,trapezoid_0008,144.0,2.0,80.0,0.6266018966250706,0.5850588783687286,-0.4553232520131732,-33.26812554173885,0.025,0.8
9,trapezoid_0009,152.0,2.0,80.0,0.6436253447050048,0.18228406813799444,-0.5276112114740434,-35.52640880417894,0.025,0.9
10,trapezoid_0010,160.0,2.0,80.0,0.6574559665143315,0.06688022767918242,-0.5610802258193684,-27.629269550030237,0.025,1.0
11,trapezoid_0011,40.0,2.0,40.0,0.33153798186093,0.9065787419260101,0.5844751506490886,-5.036011663093503,0.05,0.0
12,trapezoid_0012,43.99999999999999,2.0,40.0,0.3914976840157268,1.1817141440574954,0.4796472391146007,-5.628271678109897,0.05,0.1
13,trapezoid_0013,48.0,2.0,40.0,0.4439190839334059,1.2727623579435683,0.2913124474777153,-7.160589311893929,0.05,0.2
14,trapezoid_0014,52.0,2.0,40.0,0.48577306454911234,1.183093080991677,0.12336485752859355,-8.741890743114437,0.05,0.30000000000000004
15,trapezoid_0015,55.99999999999999,2.0,40.0,0.5224544396218523,1.0213032854710018,-0.02371653282203803,-10.388235437770799,0.05,0.4
16,trapezoid_0016,60.0,2.0,40.0,0.5543137145103216,0.7898590343989873,-0.15177090061912488,-11.96666279536593,0.05,0.5
17,trapezoid_0017,64.0,2.0,40.0,0.580763922841006,0.5613728700033951,-0.2662934105298432,-13.232872911915662,0.05,0.6000000000000001
18,trapezoid_0018,68.0,2.0,40.0,0.6060695495402296,0.3537205516404529,-0.3659953209054416,-14.295513938754565,0.05,0.7000000000000001
19,trapezoid_0019,71.99999999999999,2.0,40.0,0.6257689694664732,0.19788905038394114,-0.44932074312063564,-14.618938393901454,0.05,0.8
20,trapezoid_0020,76.0,2.0,40.0,0.6403562440849302,0.09017459408541134,-0.515726128091556,-14.478719408059023,0.05,0.9
21,trapezoid_0021,80.0,2.0,40.0,0.6499211804909846,0.05865922295348429,-0.5442724455138683,-13.39892464549566,0.05,1.0
22,trapezoid_0022,26.66666666,2.0,26.666666666666664,0.3277130607564755,0.38805461980563194,0.5408480904875489,-3.505340954499976,0.07500000000000001,0.0
23,trapezoid_0023,29.33333332,2.0,26.666666666666664,0.38761485753193414,0.5092343949416767,0.4500083058312765,-3.857290066022509,0.07500000000000001,0.1
24,trapezoid_0024,32.0,2.0,26.666666666666664,0.43847751853382266,0.5469838170041587,0.2855090048193424,-4.737066993037218,0.07500000000000001,0.2
